wv;n;k
210;0.24;1.976
220;0.223;2.084
230;0.217;2.199
240;0.215;2.315
250;0.217;2.433
260;0.223;2.549
270;0.231;2.665
280;0.242;2.778
290;0.252;2.891
300;0.263;3.003
310;0.276;3.114
320;0.287;3.224
330;0.301;3.336
340;0.312;3.445
350;0.329;3.557
360;0.343;3.667
370;0.359;3.779
380;0.378;3.891
390;0.4;4.001
400;0.42;4.108
410;0.442;4.216
420;0.463;4.322
430;0.485;4.429
440;0.508;4.536
450;0.531;4.643
460;0.557;4.75
470;0.584;4.856
480;0.612;4.96
490;0.639;5.064
500;0.668;5.168
510;0.698;5.272
520;0.729;5.375
530;0.762;5.476
540;0.796;5.577
550;0.83;5.676
560;0.864;5.776
570;0.899;5.876
580;0.936;5.976
590;0.977;6.075
600;1.019;6.173
610;1.062;6.268
620;1.106;6.363
630;1.153;6.457
640;1.203;6.551
650;1.258;6.641
660;1.314;6.726
670;1.37;6.808
680;1.427;6.889
690;1.488;6.966
700;1.551;7.041
710;1.618;7.111
720;1.687;7.174
730;1.759;7.232
740;1.833;7.282
750;1.91;7.324
760;1.99;7.352
770;2.068;7.365
780;2.139;7.359
790;2.198;7.339
800;2.239;7.306
810.1;2.262;7.264
820;2.262;7.214
830;2.234;7.166
840;2.18;7.127
850;2.104;7.107
860;2.014;7.107
870;1.918;7.131
880;1.82;7.175
890;1.727;7.238
900;1.64;7.316
910;1.56;7.405
920;1.489;7.502
930;1.427;7.607
940;1.373;7.715
950;1.326;7.826
960;1.285;7.939
970;1.25;8.051
980;1.22;8.165
990;1.194;8.277
1000;1.171;8.389
1010;1.151;8.5
1020;1.132;8.614
1030;1.117;8.726
1040;1.103;8.839
1050;1.093;8.951
1060;1.085;9.063
1070;1.077;9.174
1080;1.072;9.294
1090;1.069;9.395
1100;1.068;9.505
1110;1.068;9.614
1120;1.07;9.722
1130;1.072;9.828
1140;1.075;9.933
1150;1.08;10.037
1160;1.083;10.141
1170;1.085;10.243
1180;1.087;10.346
1190;1.088;10.449
1200;1.091;10.553
1210;1.091;10.661
1220;1.098;10.769
1230;1.105;10.876
1240;1.114;10.982
1250;1.122;11.086
1260;1.13;11.191
1270;1.139;11.297
1280;1.15;11.403
1290;1.164;11.508
1300;1.178;11.611
1310;1.193;11.712
1320;1.206;11.812
1330;1.219;11.911
1340;1.231;12.01
1350;1.244;12.11
1360;1.255;12.209
1370;1.265;12.31
1380;1.278;12.41
1390;1.291;12.513
1400;1.303;12.615
1410;1.32;12.716
1420;1.334;12.815
1430;1.348;12.915
1440;1.363;13.015
1450;1.375;13.117
1460;1.391;13.218
1470;1.408;13.32
1480;1.425;13.423
1490;1.442;13.523
1500;1.464;13.624
1510;1.483;13.723
1520;1.504;13.82
1530;1.52;13.916
1540;1.533;14.013
1550;1.55;14.116
1560;1.565;14.217
1570;1.588;14.323
1580;1.616;14.421
1590;1.638;14.518
1600;1.66;14.616
1610;1.683;14.712
1620;1.705;14.809
1630;1.727;14.905
1640;1.75;15.002
1650;1.773;15.097
1660;1.795;15.193
1670;1.818;15.288
1680;1.841;15.383
1690;1.864;15.478
1700;1.887;15.573
1710;1.91;15.668
1720;1.934;15.762
1730;1.957;15.856
1740;1.981;15.95
1750;2.004;16.044
1760;2.028;16.137
1770;2.052;16.231
1780;2.076;16.324
1790;2.1;16.417
1800;2.124;16.51
1810;2.148;16.602
1820;2.172;16.693
1830;2.193;16.788
1840;2.218;16.881
1850;2.243;16.974
1860;2.268;17.067
1870;2.293;17.159
1880;2.318;17.252
1890;2.343;17.344
1900;2.368;17.436
1910;2.394;17.528
1920;2.419;17.619
1930;2.445;17.711
1940;2.471;17.802
1950;2.496;17.894
1960;2.522;17.985
1970;2.548;18.076
1980;2.575;18.167
1990;2.601;18.258
2000;2.627;18.349
