wv;n;k
250;1.32067672;1.6846827
260;1.35508255;1.74843756
270;1.39869692;1.8036149
280;1.44819978;1.84743633
290;1.49980774;1.87816176
300;1.549358;1.89515625
310;1.59249629;1.89910863
320;1.62509791;1.89227573
330;1.64395789;1.87854973
340;1.6476369;1.86312232
350;1.63717909;1.85160411
360;1.61631128;1.84867341
370;1.59079984;1.85662377
380;1.56694762;1.87440619
390;1.54968043;1.8976963
400;1.54097638;1.92005902
410;1.5392115;1.93473286
420;1.53949095;1.93638477
430;1.53469612;1.92241927
440;1.51697813;1.89366572
450;1.47963042;1.8541867
460;1.41692677;1.80810581
470;1.32145772;1.76614969
480;1.19431022;1.74252537
490;1.04285462;1.75015988
500;0.880870269;1.79799722
510;0.725886432;1.88658879
520;0.592474964;2.0068712
530;0.486963985;2.1451468
540;0.408187403;2.289338
550;0.351286818;2.43155133
560;0.310641814;2.56767434
570;0.281228915;2.69618702
580;0.25906084;2.81714449
590;0.241234417;2.93146343
600;0.225824859;3.04043777
610;0.211715866;3.14541315
620;0.198404096;3.24757983
630;0.185803171;3.34786004
640;0.174067789;3.44686865
650;0.163452823;3.54492155
660;0.15421503;3.64204726
670;0.146286397;3.73788148
680;0.139186236;3.83271676
690;0.133069066;3.92680361
700;0.128023452;4.02013923
710;0.124055758;4.11266457
720;0.121114182;4.20431539
730;0.119110689;4.29504316
740;0.117938746;4.38482221
750;0.117486435;4.47364997
760;0.117645311;4.56154383
770;0.118315799;4.64853662
780;0.119409948;4.734672
790;0.120852341;4.82000033
800;0.122579806;4.90457529
810;0.12454042;4.98845128
820;0.126692166;5.07168155
830;0.12900148;5.154317
840;0.131441842;5.23640537
850;0.133992485;5.31799094
860;0.136637272;5.39911433
870;0.139363745;5.47981263
880;0.142162335;5.5601195
890;0.145025725;5.64006546
900;0.147948339;5.71967816
910;0.150925943;5.7989826
920;0.153955326;5.87800145
930;0.157034059;5.95675528
940;0.16016031;6.0352628
950;0.163332697;6.11354106
960;0.166550183;6.19160563
970;0.169811989;6.26947079
980;0.173117538;6.34714966
990;0.176466402;6.4246543
1000;0.179858269;6.50199588
1010;0.183292917;6.57918472
1020;0.186770194;6.65623041
1030;0.190290001;6.73314187
1040;0.19385228;6.80992743
1050;0.19745701;6.88659486
1060;0.201104196;6.96315145
1070;0.204793866;7.03960403
1080;0.208526064;7.11595903
1090;0.212300852;7.1922225
1100;0.216118306;7.26840015
1110;0.219978511;7.34449738
1120;0.223881564;7.42051928
1130;0.22782757;7.49647071
1140;0.231816642;7.57235625
1150;0.235848901;7.64818026
1160;0.239924474;7.7239469
1170;0.244043495;7.79966012
1180;0.248206103;7.87532369
1190;0.252412443;7.95094122
1200;0.256662666;8.02651614
1210;0.260956926;8.10205175
1220;0.265295384;8.17755121
1230;0.269678203;8.25301754
1240;0.274105553;8.32845365
1250;0.278577607;8.40386232
1260;0.283094541;8.47924624
1270;0.287656538;8.55460799
1280;0.292263781;8.62995005
1290;0.296916461;8.70527482
1300;0.301614769;8.78058462
1310;0.306358903;8.85588167
1320;0.311149062;8.93116814
1330;0.315985449;9.00644611
1340;0.320868272;9.08171761
1350;0.325797742;9.15698459
1360;0.330774071;9.23224894
1370;0.335797479;9.30751251
1380;0.340868185;9.38277709
1390;0.345986414;9.45804441
1400;0.351152393;9.53331615
1410;0.356366352;9.60859395
1420;0.361628527;9.68387942
1430;0.366939154;9.7591741
1440;0.372298474;9.83447952
1450;0.377706731;9.90979714
1460;0.383164172;9.98512842
1470;0.388671047;10.0604748
1480;0.394227611;10.1358375
1490;0.399834119;10.2112181
1500;0.405490833;10.2866177
1510;0.411198015;10.3620378
1520;0.416955933;10.4374794
1530;0.422764857;10.512944
1540;0.428625059;10.5884326
1550;0.434536816;10.6639465
1560;0.440500409;10.7394868
1570;0.44651612;10.8150547
1580;0.452584236;10.8906513
1590;0.458705047;10.9662777
1600;0.464878846;11.0419349
1610;0.47110593;11.1176242
1620;0.477386599;11.1933464
1630;0.483721157;11.2691026
1640;0.49010991;11.3448939
1650;0.496553168;11.4207213
1660;0.503051246;11.4965857
1670;0.509604461;11.572488
1680;0.516213134;11.6484294
1690;0.522877588;11.7244107
1700;0.529598154;11.8004328
1710;0.53637516;11.8764967
1720;0.543208944;11.9526033
1730;0.550099844;12.0287535
1740;0.557048203;12.1049481
1750;0.564054366;12.1811882
1760;0.571118684;12.2574745
1770;0.578241511;12.3338079
1780;0.585423204;12.4101892
1790;0.592664125;12.4866194
1800;0.599964638;12.5630992
1810;0.607325113;12.6396295
1820;0.614745924;12.7162111
1830;0.622227447;12.7928448
1840;0.629770063;12.8695315
1850;0.637374157;12.9462719
1860;0.645040119;13.0230669
1870;0.652768341;13.0999172
1880;0.660559222;13.1768237
1890;0.668413162;13.253787
1900;0.676330567;13.330808
1910;0.684311848;13.4078875
1920;0.692357419;13.4850263
1930;0.700467698;13.562225
1940;0.708643108;13.6394845
1950;0.716884077;13.7168055
1960;0.725191037;13.7941888
1970;0.733564424;13.8716351
1980;0.742004679;13.9491451
1990;0.750512247;14.0267197
2000;0.759087579;14.1043595
