wv;n;k
188.00;1.28;1.64
192.00;1.31;1.65
195.00;1.35;1.68
199.00;1.39;1.70
203.00;1.43;1.70
207.00;1.46;1.71
212.00;1.46;1.72
216.00;1.47;1.72
221.00;1.45;1.73
226.00;1.43;1.74
231.00;1.40;1.77
237.00;1.38;1.80
243.00;1.36;1.85
249.00;1.36;1.91
255.00;1.37;1.97
262.00;1.38;2.03
269.00;1.39;2.08
276.00;1.43;2.15
284.00;1.45;2.21
292.00;1.48;2.28
301.00;1.53;2.34
311.00;1.58;2.40
320.00;1.65;2.47
332.00;1.69;2.53
342.00;1.76;2.58
354.00;1.84;2.64
368.00;1.87;2.69
381.00;1.92;2.74
397.00;2.00;2.83
413.00;2.08;2.93
431.00;2.19;3.04
451.00;2.33;3.14
471.00;2.51;3.24
496.00;2.75;3.30
521.00;2.94;3.33
549.00;3.18;3.33
582.00;3.22;3.30
617.00;3.17;3.30
659.00;3.09;3.34
704.00;3.05;3.39
756.00;3.08;3.42
821.00;3.20;3.48
892.00;3.30;3.52
984.00;3.41;3.57
