wv;n;k
240;1.847;0.700
261;1.933;0.617
281;2.051;0.529
300;2.161;0.430
312;2.216;0.375
328;2.246;0.324
338;2.255;0.29
350;2.259;0.256
360;2.255;0.234
370;2.237;0.188
378;2.213;0.161
388;2.18;0.150
397;2.158;0.132
411;2.125;0.114
423;2.096;0.097
432;2.078;0.080
443;2.059;0.064
458;2.041;0.059
471;2.023;0.048
483;2.01;0.039
500;1.999;0.030
516;1.99;0.013
529;1.985;0.008
548;1.979;0.008
570;1.974;0.0
609;1.963;0.0
660;1.949;0.0
700;1.942;0.0
780;1.933;0.0
829;1.926;0.0
872;1.919;0.0
900;1.916;0.0
961;1.912;0.0
1000;1.907;0.0
2000;1.853;0.0
