wv;n;k
17.586;0.9522;0.0688
17.712;0.9523;0.0693
17.839;0.9518;0.0704
17.969;0.9519;0.0709
18.1;0.9514;0.072
18.233;0.9515;0.0725
18.368;0.951;0.0736
18.505;0.951;0.0741
18.644;0.9506;0.0752
18.785;0.9507;0.0763
18.929;0.9502;0.0768
19.074;0.9498;0.0779
19.222;0.9499;0.079
19.373;0.9494;0.08
19.525;0.9495;0.0811
19.68;0.949;0.0817
19.837;0.9491;0.0827
19.997;0.9487;0.0838
20.16;0.9488;0.0848
20.325;0.9484;0.0859
20.493;0.9479;0.087
20.664;0.948;0.0881
20.838;0.9476;0.0892
21.014;0.9477;0.0902
21.194;0.9473;0.0913
21.377;0.9469;0.0924
21.562;0.947;0.094
21.752;0.9466;0.0951
21.944;0.9467;0.0961
22.14;0.9463;0.0972
22.339;0.9459;0.0988
22.543;0.946;0.0999
22.749;0.9457;0.1015
22.96;0.9453;0.1026
23.175;0.9454;0.1037
23.393;0.945;0.1053
23.616;0.9452;0.1069
23.843;0.9448;0.108
24.075;0.9445;0.1096
24.311;0.9441;0.1112
24.551;0.9442;0.1123
24.797;0.9439;0.1139
25.047;0.9436;0.1155
25.303;0.9438;0.1171
25.564;0.9434;0.1187
25.83;0.9431;0.1203
26.102;0.9428;0.122
26.38;0.943;0.1235
26.663;0.9427;0.1252
26.953;0.9424;0.1268
27.249;0.9421;0.129
27.552;0.9418;0.1306
27.862;0.9421;0.1322
28.178;0.9418;0.1343
28.502;0.9416;0.1365
28.834;0.9413;0.1381
29.173;0.9411;0.1403
29.52;0.9409;0.1424
29.876;0.9406;0.1441
30.24;0.9404;0.1462
30.613;0.9402;0.1484
30.996;0.94;0.1505
31.388;0.9399;0.1532
31.791;0.9398;0.1554
32.204;0.9396;0.1575
32.627;0.9395;0.1602
33.062;0.9393;0.1623
33.509;0.9388;0.1651
33.968;0.9386;0.1673
34.44;0.9386;0.1699
34.925;0.9385;0.1726
35.424;0.938;0.1754
35.937;0.9379;0.1781
36.466;0.9374;0.1808
37.01;0.9375;0.184
37.571;0.937;0.1868
38.149;0.9365;0.1901
38.745;0.9367;0.1932
39.36;0.9362;0.196
39.995;0.9358;0.1993
40.651;0.9354;0.2026
41.328;0.9352;0.2064
42.029;0.9349;0.2097
42.753;0.934;0.2131
43.503;0.9338;0.2169
44.28;0.9331;0.2208
45.085;0.9328;0.224
45.92;0.9322;0.228
46.786;0.9315;0.2319
47.686;0.9305;0.2364
48.621;0.9294;0.2405
49.594;0.9288;0.2444
50.606;0.9274;0.2491
51.66;0.9263;0.2531
52.759;0.9244;0.258
53.906;0.923;0.2627
55.104;0.9212;0.2676
56.356;0.9189;0.2726
57.667;0.9161;0.2778
59.04;0.9128;0.2832
60.48;0.9097;0.2891
61.992;0.9055;0.2949
63.582;0.901;0.3013
65.255;0.896;0.308
67.018;0.8901;0.3151
68.88;0.8834;0.3232
70.848;0.8751;0.3314
72.932;0.8662;0.3411
75.142;0.856;0.3517
77.49;0.844;0.3637
79.99;0.8304;0.3775
82.656;0.815;0.3939
85.506;0.7981;0.4135
88.56;0.7791;0.437
91.84;0.7589;0.4658
95.372;0.7388;0.5008
99.187;0.7209;0.5438
103.32;0.7093;0.5942
107.812;0.708;0.6483
112.713;0.7192;0.6966
118.08;0.7342;0.7273
123.984;0.7318;0.74
130.51;0.6955;0.7541
137.76;0.6304;0.7971
145.864;0.5561;0.8811
154.98;0.4922;1.0066
165.312;0.4516;1.167
177.12;0.4444;1.357
190.745;0.4937;1.5648
206.64;0.6184;1.7124
225.426;0.6196;1.7464
247.968;0.4994;1.9795
261.019;0.4873;2.172
275.52;0.5524;2.394
291.728;0.7446;2.4832
309.96;0.6411;2.4613
330.625;0.5362;2.7034
354.241;0.524;2.9907
381.49;0.5508;3.2986
413.281;0.6029;3.6376
450.852;0.6794;4.0209
495.937;0.7858;4.4636
551.041;0.9322;4.985
619.921;1.1356;5.6116
708.481;1.4247;6.3811
826.561;1.8489;7.3486
991.874;2.4976;8.5981
1239.842;3.5417;10.2617
1653.123;5.3318;12.5605
2479.684;8.6709;15.947
