wv;n;k
400;2.5699339484984;1.92E-03
415;2.5329970809397;1.75E-03
430;2.5030416753539;1.57E-03
445;2.4781489849884;1.42E-03
461;2.4569596297262;1.28E-03
477;2.438689164242;1.12E-03
495;2.4227742061349;1.01E-03
513;2.4087967483656;9.16E-04
532;2.3963761158072;8.00E-04
551;2.3853421738649;6.99E-04
571;2.3753998684833;6.11E-04
591;2.3665019445716;5.34E-04
613;2.3584381212068;4.66E-04
635;2.3511185893296;3.95E-04
658;2.3444649691017;3.33E-04
682;2.3384084821195;2.91E-04
707;2.3328674235223;2.43E-04
732;2.3277954532209;2.08E-04
759;2.3231503690594;1.73E-04
786;2.318893758264;1.42E-04
814;2.3149646873959;1.18E-04
844;2.3113630971928;9.64E-05
875;2.3080281900646;7.85E-05
906;2.3049612061395;6.35E-05
939;2.3021229690809;5.04E-05
973;2.2994977014729;4.02E-05
