wv;n;k
300;1.65;0.97
310;1.46;0.57
320;0.92;0.33
330;0.23;0.59
340;0.10;1.05
350;0.08;1.33
360;0.06;1.53
370;0.06;1.71
380;0.05;1.86
390;0.05;2.00
400;0.05;2.12
410;0.04;2.24
420;0.04;2.36
430;0.04;2.47
440;0.04;2.57
450;0.04;2.68
460;0.04;2.78
470;0.04;2.87
480;0.04;2.97
490;0.04;3.07
500;0.04;3.16
510;0.04;3.25
520;0.04;3.34
530;0.04;3.43
540;0.04;3.52
550;0.04;3.61
560;0.04;3.70
570;0.05;3.78
580;0.05;3.87
590;0.05;3.96
600;0.05;4.04
610;0.05;4.13
620;0.05;4.21
630;0.05;4.29
640;0.05;4.38
650;0.05;4.46
660;0.05;4.54
670;0.05;4.62
680;0.05;4.71
690;0.05;4.79
700;0.05;4.87
710;0.06;4.95
720;0.06;5.03
730;0.06;5.11
740;0.06;5.20
750;0.06;5.27
760;0.06;5.36
770;0.06;5.44
780;0.06;5.51
790;0.06;5.60
800;0.06;5.68
810;0.07;5.75
820;0.07;5.84
830;0.07;5.91
840;0.07;6.00
850;0.07;6.08
860;0.07;6.16
870;0.07;6.24
880;0.07;6.31
890;0.07;6.39
900;0.07;6.47
