wv;n;k
150;0.10;1.28
155;0.10;1.34
160;0.10;1.40
165;0.10;1.47
170;0.10;1.53
175;0.11;1.60
180;0.10;1.66
185;0.11;1.73
190;0.11;1.79
195;0.11;1.85
200;0.11;1.91
205;0.11;1.97
210;0.11;2.03
215;0.12;2.09
220;0.12;2.15
225;0.12;2.21
230;0.12;2.27
235;0.13;2.34
240;0.13;2.40
245;0.14;2.46
250;0.14;2.52
255;0.15;2.57
260;0.15;2.63
265;0.16;2.69
270;0.16;2.75
275;0.17;2.81
280;0.18;2.87
285;0.19;2.92
290;0.19;2.98
295;0.20;3.04
300;0.20;3.10
305;0.21;3.16
310;0.22;3.21
315;0.22;3.27
320;0.24;3.32
325;0.24;3.38
330;0.25;3.44
335;0.26;3.49
340;0.27;3.55
345;0.28;3.61
350;0.28;3.66
355;0.29;3.72
360;0.30;3.78
365;0.31;3.83
370;0.32;3.89
375;0.33;3.95
380;0.34;4.00
385;0.35;4.06
390;0.35;4.11
395;0.36;4.17
400;0.38;4.23
405;0.39;4.28
410;0.40;4.34
415;0.41;4.39
420;0.42;4.45
425;0.43;4.50
430;0.44;4.56
435;0.45;4.61
440;0.46;4.67
445;0.48;4.72
450;0.49;4.78
455;0.50;4.83
460;0.51;4.89
465;0.53;4.94
470;0.54;5.00
475;0.55;5.05
480;0.57;5.11
485;0.58;5.16
490;0.60;5.21
495;0.61;5.27
500;0.63;5.32
505;0.64;5.37
510;0.66;5.43
515;0.67;5.48
520;0.69;5.54
525;0.70;5.59
530;0.72;5.64
535;0.74;5.69
540;0.75;5.75
545;0.77;5.80
550;0.79;5.85
555;0.81;5.91
560;0.83;5.96
565;0.85;6.01
570;0.87;6.06
575;0.89;6.11
580;0.91;6.17
585;0.93;6.22
590;0.95;6.27
595;0.97;6.32
600;0.99;6.37
605;1.02;6.42
610;1.04;6.47
615;1.06;6.52
620;1.09;6.57
625;1.11;6.61
630;1.14;6.66
635;1.17;6.71
640;1.19;6.76
645;1.22;6.81
650;1.25;6.85
655;1.28;6.90
660;1.30;6.94
665;1.33;6.99
670;1.37;7.03
675;1.40;7.07
680;1.43;7.12
685;1.46;7.16
690;1.49;7.20
695;1.53;7.24
700;1.56;7.27
705;1.60;7.31
710;1.63;7.35
715;1.67;7.38
720;1.71;7.41
725;1.75;7.45
730;1.79;7.48
735;1.83;7.50
740;1.87;7.53
745;1.92;7.55
750;1.96;7.57
755;2.01;7.59
760;2.05;7.60
765;2.10;7.61
770;2.14;7.61
775;2.19;7.61
780;2.23;7.60
785;2.28;7.59
790;2.31;7.57
795;2.35;7.55
800;2.37;7.52
805;2.40;7.49
810;2.41;7.45
815;2.41;7.41
820;2.41;7.37
825;2.40;7.33
830;2.38;7.29
835;2.34;7.25
840;2.30;7.23
845;2.26;7.20
850;2.20;7.19
855;2.15;7.18
860;2.09;7.18
865;2.03;7.18
870;1.97;7.20
875;1.92;7.22
880;1.85;7.24
885;1.80;7.27
890;1.75;7.31
895;1.69;7.35
900;1.65;7.39
905;1.60;7.44
910;1.56;7.49
915;1.52;7.54
920;1.48;7.59
925;1.45;7.65
930;1.42;7.70
935;1.39;7.76
940;1.36;7.81
945;1.33;7.87
950;1.30;7.93
955;1.28;7.99
960;1.26;8.05
965;1.24;8.11
970;1.22;8.16
975;1.20;8.22
980;1.18;8.28
985;1.17;8.34
990;1.15;8.40
995;1.14;8.46
1000;1.13;8.51
1005;1.11;8.57
1010;1.10;8.63
1015;1.09;8.69
1020;1.09;8.75
1025;1.08;8.81
1030;1.07;8.87
1035;1.06;8.92
1040;1.06;8.98
1045;1.05;9.04
1050;1.04;9.08
1055;1.04;9.15
1060;1.03;9.20
1065;1.03;9.26
1070;1.03;9.32
1075;1.02;9.37
1080;1.02;9.43
1085;1.02;9.48
1090;1.01;9.54
1095;1.01;9.59
1100;1.01;9.65
1105;1.01;9.70
1110;1.01;9.75
1115;1.00;9.81
1120;1.00;9.86
1125;1.00;9.92
1130;1.00;9.97
1135;1.01;10.02
1140;1.00;10.08
1145;1.00;10.13
1150;1.01;10.18
1155;1.00;10.24
1160;1.01;10.29
1165;1.01;10.34
1170;1.01;10.39
1175;1.01;10.44
1180;1.02;10.49
1185;1.01;10.55
1190;1.02;10.61
1195;1.02;10.66
1200;1.02;10.71
1205;1.02;10.76
1210;1.02;10.81
1215;1.03;10.86
1220;1.03;10.91
1225;1.04;10.96
1230;1.04;11.01
1235;1.04;11.07
1240;1.04;11.12
1245;1.05;11.17
1250;1.05;11.22
1255;1.05;11.27
1260;1.06;11.32
1265;1.06;11.36
1270;1.06;11.41
1275;1.07;11.47
1280;1.07;11.52
1285;1.07;11.56
1290;1.08;11.62
1295;1.08;11.67
1300;1.09;11.72
1305;1.09;11.77
1310;1.09;11.82
1315;1.10;11.86
1320;1.10;11.92
1325;1.11;11.97
1330;1.11;12.02
1335;1.11;12.06
1340;1.12;12.12
1345;1.13;12.17
1350;1.13;12.22
1355;1.14;12.27
1430;1.21;12.99
1435;1.22;13.04
1440;1.22;13.09
1445;1.23;13.13
1450;1.23;13.19
1455;1.24;13.23
1460;1.24;13.28
1465;1.25;13.33
1470;1.26;13.38
1475;1.25;13.42
1480;1.27;13.47
1485;1.26;13.52
1490;1.28;13.57
1495;1.28;13.62
1500;1.29;13.66
1505;1.29;13.71
1510;1.30;13.76
1515;1.30;13.81
1520;1.31;13.86
1525;1.32;13.91
1530;1.33;13.95
1535;1.33;14.00
1540;1.34;14.05
1545;1.34;14.09
1550;1.35;14.13
1555;1.35;14.19
1560;1.36;14.23
1565;1.37;14.27
1570;1.37;14.33
1575;1.37;14.37
1580;1.39;14.42
1585;1.39;14.47
1590;1.40;14.52
1595;1.40;14.57
1600;1.40;14.61
1605;1.40;14.65
1610;1.42;14.71
1615;1.42;14.76
1620;1.44;14.82
1625;1.44;14.85
1630;1.45;14.90
1635;1.45;14.95
1640;1.46;14.99
1645;1.46;15.02
1650;1.47;15.08
1655;1.48;15.12
1660;1.47;15.18
1665;1.48;15.23
1670;1.46;15.28
1675;1.43;15.35
1680;1.43;15.39
1685;1.45;15.47
1690;1.51;15.50
1695;1.56;15.53
1700;1.58;15.56
