wv;n;k
300.00;1.62;1.93
310.00;1.65;1.93
320.00;1.68;1.92
330.00;1.69;1.91
340.00;1.68;1.90
350.00;1.66;1.90
360.00;1.63;1.92
370.00;1.62;1.95
380.00;1.61;1.97
390.00;1.61;1.99
400.00;1.60;2.00
410.00;1.59;2.00
420.00;1.57;2.00
430.00;1.55;2.00
440.00;1.51;1.99
450.00;1.47;1.97
460.00;1.41;1.94
470.00;1.33;1.92
480.00;1.21;1.90
490.00;1.07;1.91
500.00;0.91;1.96
510.00;0.76;2.06
520.00;0.64;2.20
530.00;0.55;2.33
540.00;0.49;2.46
550.00;0.43;2.59
560.00;0.39;2.72
570.00;0.36;2.84
580.00;0.33;2.95
590.00;0.30;3.07
600.00;0.28;3.18
610.00;0.26;3.30
620.00;0.24;3.40
630.00;0.23;3.51
640.00;0.22;3.61
650.00;0.20;3.72
660.00;0.20;3.82
670.00;0.19;3.92
680.00;0.18;4.02
690.00;0.18;4.12
700.00;0.18;4.22
710.00;0.18;4.31
720.00;0.18;4.40
730.00;0.18;4.50
740.00;0.18;4.59
750.00;0.18;4.68
760.00;0.18;4.77
770.00;0.18;4.86
780.00;0.19;4.95
790.00;0.19;5.03
800.00;0.19;5.12
810.00;0.19;5.20
820.00;0.20;5.30
830.00;0.19;5.37
840.00;0.20;5.46
850.00;0.20;5.53
860.00;0.21;5.63
870.00;0.21;5.71
880.00;0.21;5.79
890.00;0.21;5.86
900.00;0.22;5.94
910.00;0.22;6.02
920.00;0.22;6.11
930.00;0.23;6.19
940.00;0.23;6.27
950.00;0.24;6.35
960.00;0.24;6.43
970.00;0.25;6.51
980.00;0.25;6.59
