wv;n;k
17.586;0.9522;0.0688
20.8732;0.94762;0.0894
24.1604;0.94436;0.11018
27.44761;0.9419;0.13005
30.73481;0.94014;0.14907
34.02202;0.93865;0.1676
37.30923;0.93723;0.18549
40.59644;0.93543;0.20233
43.88364;0.93346;0.21881
47.17085;0.93107;0.23382
50.45805;0.9276;0.24841
53.74526;0.9232;0.26204
57.03246;0.91746;0.27528
60.31966;0.91005;0.28844
63.60686;0.90093;0.3014
66.89405;0.89051;0.3146
70.18123;0.87791;0.32862
73.46841;0.86372;0.34367
76.75558;0.84775;0.35995
80.04274;0.8301;0.37783
83.32989;0.811;0.39854
86.61703;0.79119;0.42205
89.90418;0.77082;0.44881
93.19133;0.75121;0.4792
96.47849;0.73361;0.51328
99.76566;0.71928;0.55086
103.05286;0.71005;0.59094
106.34006;0.70843;0.63057
109.62727;0.71215;0.66619
112.91447;0.71976;0.69775
116.20166;0.72895;0.71655
119.48886;0.73363;0.73033
122.77607;0.73229;0.7374
126.06324;0.72023;0.74449
129.3504;0.70195;0.75159
132.6375;0.6764;0.76672
135.92458;0.64688;0.78622
139.21165;0.61709;0.81215
142.49872;0.58695;0.84622
145.78579;0.55682;0.88029
149.07292;0.53361;0.92528
152.36004;0.51056;0.97053
155.64718;0.48958;1.01695
158.93436;0.47666;1.06798
162.22154;0.46374;1.11901
165.50873;0.45148;1.17015
168.79594;0.44948;1.22303
172.08314;0.44747;1.27592
175.37035;0.44547;1.32881
178.65755;0.44996;1.38041
181.94473;0.46186;1.43054
185.23192;0.47375;1.48067
188.5191;0.48565;1.244748
191.80626;0.50203;1.57462
195.09337;0.52781;1.60514
198.38048;0.5536;1.63567
201.66758;0.57939;1.66619
204.95469;0.60518;1.69672
208.24185;0.6185;1.71529
211.52905;0.61871;1.72124
214.81626;0.61892;1.72719
218.10347;0.61913;1.73314
221.39068;0.61934;1.73909
224.67788;0.61955;1.74504
227.96506;0.60606;1.77262
231.25222;0.58853;1.80661
234.53938;0.57101;1.80661
237.82654;0.55348;1.87459
241.1137;0.53595;1.90858
244.40086;0.51842;1.94257
247.68802;0.50089;1.97656
250.97522;0.49661;2.02379
254.26243;0.49356;2.07227
257.54963;0.49052;2.12076
260.83684;0.48747;2.16924
264.12402;0.50124;2.21945
267.41119;0.516;2.26977
270.69837;0.53075;2.32009
273.98554;0.54551;2.37041
277.27261;0.57318;2.40361
280.55959;0.61216;2.8463
283.84656;0.65114;2.43979
287.13354;0.69012;2.45788
290.42051;0.7291;2.47597
293.7076;0.73336;2.48083
296.99475;0.7147;2.47688
300.28191;0.69604;2.47293
303.56906;0.67738;2.46898
306.85622;0.65872;2.46503
310.14337;0.64017;2.46339
313.43054;0.62348;2.51139224
316.7177;0.6068;2.54041
320.00487;0.59011;2.57892
323.29203;0.57342;2.61743
326.5792;0.55674;2.65594
329.86636;0.54005;2.69445
333.15356;0.53489;2.73409
336.44077;0.5332;2.77408
339.72797;0.5315;2.81407
343.01518;0.5298;2.85406
346.30239;0.5281;2.89404
349.5896;0.5264;2.93403
352.8768;0.5247;2.97402
356.16401;0.52589;3.01235
359.45122;0.52912;3.04949
362.73842;0.53236;3.08663
366.02563;0.53559;3.12378
369.31283;0.53882;3.16092
372.60004;0.54206;3.19806
375.88725;0.54529;3.165151
379.17445;0.54852;3.27234
382.46166;0.55239;3.30887
385.74886;0.55778;3.34392
389.03606;0.56317;3.37898
392.32327;0.56855;3.41403
395.61047;0.57394;3.44908
398.89767;0.57933;3.48413
402.18487;0.58472;3.51918
405.47208;0.5901;3.55423
408.75928;0.59549;3.58928
412.04648;0.60088;3.62434
